Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year_Month,A,B,Quarter,Year_Quarter,公司 代號_x,公司名稱_x,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,年度/季別,毛利率%,營業利益率%,稅前淨利率%,稅後淨利率%,統計期,總人口數(千人),15歲以上民間人口(千人),勞動力(千人),就業人數(千人),失業人數(千人),15歲以上民間人口占總人口數(%),勞動力占總人口數(%),勞動力參與率(%),就業人口占總人口數(%),就業人口占15歲以上民間人口(%),就業人口占勞動力(%),失業率(%),公司 代號_y,公司名稱_y,營業費用,所得稅費用（利益）,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,稅前淨利（淨損）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期綜合損益總額,營業收入,營業成本,營業毛利（毛損）,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益
2023-11-27,565.1870118262062,569.1324708965464,560.2551879882812,560.2551879882812,18528520,0.0,0.0,202311,1.0069808027923213,0.015706806282722658,4,2023Q4,2330,台積電,206026179,243202811,222705993,-15.28,-7.48,1985435975,2071331050,-4.14,-,2023Q4,53.04,41.6,44.49,38.1,112年11月,23255,20211,11977,11577,400,86.91,51.5,59.26,49.78,57.28,96.66,3.34,2330,台積電,253833716.0,141403807,830509542,-1555669,32.34,979171324.0,837767517.0,837767517.0,828953873.0,2161735841.0,986625213,1175110628.0,1175110628.0,188694,921465606.0,57705718.0,-8813644,838497664,-730147
2023-11-28,557.2960215692934,568.1460326086957,557.2960215692934,567.15966796875,26343906,0.0,0.0,202311,1.0194690265486728,0.019469026548672726,4,2023Q4,2330,台積電,206026179,243202811,222705993,-15.28,-7.48,1985435975,2071331050,-4.14,-,2023Q4,53.04,41.6,44.49,38.1,112年11月,23255,20211,11977,11577,400,86.91,51.5,59.26,49.78,57.28,96.66,3.34,2330,台積電,253833716.0,141403807,830509542,-1555669,32.34,979171324.0,837767517.0,837767517.0,828953873.0,2161735841.0,986625213,1175110628.0,1175110628.0,188694,921465606.0,57705718.0,-8813644,838497664,-730147
2023-11-29,570.1187986579922,571.1051633615527,562.2278810295078,566.17333984375,24868842,0.0,0.0,202311,1.0017301038062283,0.015570934256055529,4,2023Q4,2330,台積電,206026179,243202811,222705993,-15.28,-7.48,1985435975,2071331050,-4.14,-,2023Q4,53.04,41.6,44.49,38.1,112年11月,23255,20211,11977,11577,400,86.91,51.5,59.26,49.78,57.28,96.66,3.34,2330,台積電,253833716.0,141403807,830509542,-1555669,32.34,979171324.0,837767517.0,837767517.0,828953873.0,2161735841.0,986625213,1175110628.0,1175110628.0,188694,921465606.0,57705718.0,-8813644,838497664,-730147
2023-11-30,568.1460815641248,569.1324462890625,562.2278932144985,569.1324462890625,47192647,0.0,0.0,202311,1.0017361111111112,0.01215277777777771,4,2023Q4,2330,台積電,206026179,243202811,222705993,-15.28,-7.48,1985435975,2071331050,-4.14,-,2023Q4,53.04,41.6,44.49,38.1,112年11月,23255,20211,11977,11577,400,86.91,51.5,59.26,49.78,57.28,96.66,3.34,2330,台積電,253833716.0,141403807,830509542,-1555669,32.34,979171324.0,837767517.0,837767517.0,828953873.0,2161735841.0,986625213,1175110628.0,1175110628.0,188694,921465606.0,57705718.0,-8813644,838497664,-730147
2023-12-01,565.1869753506517,571.1051635742188,565.1869753506517,571.1051635742188,28051165,0.0,0.0,202312,1.0104712041884818,0.010471204188481768,4,2023Q4,2330,台積電,176299866,206026179,192560242,-14.42,-8.44,2161735841,2263891292,-4.51,-,2023Q4,53.04,41.6,44.49,38.1,112年12月,23260,20219,11982,11583,399,86.93,51.51,59.26,49.8,57.29,96.67,3.33,2330,台積電,253833716.0,141403807,830509542,-1555669,32.34,979171324.0,837767517.0,837767517.0,828953873.0,2161735841.0,986625213,1175110628.0,1175110628.0,188694,921465606.0,57705718.0,-8813644,838497664,-730147
2023-12-04,574.0642574722343,574.0642574722343,563.2142457330684,566.17333984375,26847171,0.0,0.0,202312,1.0,0.018900343642611603,4,2023Q4,2330,台積電,176299866,206026179,192560242,-14.42,-8.44,2161735841,2263891292,-4.51,-,2023Q4,53.04,41.6,44.49,38.1,112年12月,23260,20219,11982,11583,399,86.93,51.51,59.26,49.8,57.29,96.67,3.33,2330,台積電,253833716.0,141403807,830509542,-1555669,32.34,979171324.0,837767517.0,837767517.0,828953873.0,2161735841.0,986625213,1175110628.0,1175110628.0,188694,921465606.0,57705718.0,-8813644,838497664,-730147
2023-12-05,563.2142700195312,564.2006347656251,559.2688110351563,562.2279052734375,22229723,0.0,0.0,202312,1.001751313485114,0.008756567425569177,4,2023Q4,2330,台積電,176299866,206026179,192560242,-14.42,-8.44,2161735841,2263891292,-4.51,-,2023Q4,53.04,41.6,44.49,38.1,112年12月,23260,20219,11982,11583,399,86.93,51.51,59.26,49.8,57.29,96.67,3.33,2330,台積電,253833716.0,141403807,830509542,-1555669,32.34,979171324.0,837767517.0,837767517.0,828953873.0,2161735841.0,986625213,1175110628.0,1175110628.0,188694,921465606.0,57705718.0,-8813644,838497664,-730147
2023-12-06,560.25517578125,567.1597290039062,560.25517578125,562.2279052734375,21518089,0.0,0.0,202312,1.0123239436619718,0.012323943661971749,4,2023Q4,2330,台積電,176299866,206026179,192560242,-14.42,-8.44,2161735841,2263891292,-4.51,-,2023Q4,53.04,41.6,44.49,38.1,112年12月,23260,20219,11982,11583,399,86.93,51.51,59.26,49.8,57.29,96.67,3.33,2330,台積電,253833716.0,141403807,830509542,-1555669,32.34,979171324.0,837767517.0,837767517.0,828953873.0,2161735841.0,986625213,1175110628.0,1175110628.0,188694,921465606.0,57705718.0,-8813644,838497664,-730147
2023-12-07,562.2279298600375,565.187024227722,558.282470703125,558.282470703125,20840397,0.0,0.0,202312,1.0052631578947369,0.012280701754385984,4,2023Q4,2330,台積電,176299866,206026179,192560242,-14.42,-8.44,2161735841,2263891292,-4.51,-,2023Q4,53.04,41.6,44.49,38.1,112年12月,23260,20219,11982,11583,399,86.93,51.51,59.26,49.8,57.29,96.67,3.33,2330,台積電,253833716.0,141403807,830509542,-1555669,32.34,979171324.0,837767517.0,837767517.0,828953873.0,2161735841.0,986625213,1175110628.0,1175110628.0,188694,921465606.0,57705718.0,-8813644,838497664,-730147
2023-12-08,566.1733642578125,569.1324584960938,562.2279052734375,562.2279052734375,33507214,0.0,0.0,202312,1.005226480836237,0.012195121951219632,4,2023Q4,2330,台積電,176299866,206026179,192560242,-14.42,-8.44,2161735841,2263891292,-4.51,-,2023Q4,53.04,41.6,44.49,38.1,112年12月,23260,20219,11982,11583,399,86.93,51.51,59.26,49.8,57.29,96.67,3.33,2330,台積電,253833716.0,141403807,830509542,-1555669,32.34,979171324.0,837767517.0,837767517.0,828953873.0,2161735841.0,986625213,1175110628.0,1175110628.0,188694,921465606.0,57705718.0,-8813644,838497664,-730147
